"","id","date","amount"
"174",57,2019-09-12,124
"175",17,2019-09-12,22
"176",2,2019-09-12,170
"177",28,2019-09-13,26
"178",81,2019-09-14,15
"179",65,2019-09-14,65
"180",79,2019-09-15,36
"181",128,2019-09-16,115
"182",77,2019-09-17,31
"183",141,2019-09-17,55
"184",112,2019-09-18,83
"185",135,2019-09-19,56
"186",59,2019-09-23,47
"187",96,2019-09-23,33
"188",115,2019-09-24,35
"189",157,2019-09-24,157
"190",97,2019-09-25,54
"191",143,2019-09-26,77
"192",45,2019-09-27,54
"193",53,2019-09-28,22
"194",160,2019-09-29,20
"195",39,2019-10-03,39
"196",81,2019-10-03,44
"197",52,2019-10-04,67
"198",37,2019-10-05,16
"199",98,2019-10-05,35
"200",129,2019-10-06,6
"201",136,2019-10-06,87
"202",144,2019-10-07,166
"203",7,2019-10-07,64
"204",48,2019-10-08,6
"205",96,2019-10-09,14
"206",89,2019-10-10,26
"207",66,2019-10-11,25
"208",2,2019-10-11,124
"209",116,2019-10-11,102
"210",128,2019-10-12,35
"211",65,2019-10-12,16
"212",87,2019-10-13,124
"213",101,2019-10-13,102
"214",160,2019-10-13,57
"215",97,2019-10-15,96
"216",31,2019-10-16,192
"217",61,2019-10-16,89
"218",57,2019-10-17,95
"219",157,2019-10-17,17
"220",143,2019-10-18,720
"221",28,2019-10-18,87
"222",103,2019-10-18,203
"223",23,2019-10-19,71
"224",35,2019-10-19,23
"225",130,2019-10-21,19
"226",91,2019-10-21,54
"227",77,2019-10-24,285
"228",69,2019-10-25,67
"229",102,2019-10-29,40
"230",54,2019-11-02,371
"231",75,2019-11-02,421
"232",142,2019-11-02,91
"233",91,2019-11-05,52
"234",31,2019-11-06,62
"235",130,2019-11-06,206
"236",157,2019-11-06,19
"237",2,2019-11-08,26
"238",35,2019-11-09,186
"239",94,2019-11-11,33
"240",57,2019-11-12,72
"241",56,2019-11-13,54
"242",46,2019-11-13,205
"243",39,2019-11-14,23
"244",7,2019-11-14,49
"245",103,2019-11-15,167
"246",78,2019-11-17,116
"247",122,2019-11-18,146
"248",67,2019-11-20,195
"249",102,2019-11-21,19
"250",144,2019-11-22,93
"251",160,2019-11-22,47
"252",116,2019-11-22,5
"253",87,2019-11-26,317
"254",127,2019-11-26,40
"255",25,2019-11-27,43
"256",37,2019-11-27,18
"257",128,2019-11-27,102
"258",97,2019-11-29,19
"259",25,2019-12-02,65
"260",4,2019-12-02,240
"261",107,2019-12-02,166
"262",35,2019-12-04,548
"263",48,2019-12-05,105
"264",142,2019-12-05,279
"265",130,2019-12-05,25
"266",157,2019-12-05,57
"267",89,2019-12-06,21
"268",28,2019-12-07,15
"269",129,2019-12-07,13
"270",42,2019-12-08,52
"271",57,2019-12-08,10
"272",76,2019-12-08,163
"273",63,2019-12-08,20
"274",117,2019-12-08,343
"275",91,2019-12-08,30
"276",128,2019-12-09,69
"277",96,2019-12-10,132
"278",102,2019-12-10,13
"279",160,2019-12-11,102
"280",106,2019-12-12,74
"281",97,2019-12-12,99
"282",69,2019-12-12,65
"283",14,2019-12-12,6
"284",87,2019-12-13,54
"285",144,2019-12-13,591
"286",54,2019-12-14,26
"287",95,2019-12-14,21
"288",77,2019-12-16,68
"289",78,2019-12-17,6
"290",145,2019-12-17,75
"291",38,2019-12-17,9
"292",37,2019-12-18,58
"293",65,2019-12-19,31
"294",67,2019-12-19,13
"295",83,2019-12-21,44
"296",90,2019-12-24,31
"297",1,2019-12-28,304
"298",112,2019-12-29,42
"299",59,2019-12-29,86
"300",103,2019-12-29,118
"301",25,2020-01-02,32
"302",59,2020-01-03,301
"303",76,2020-01-03,163
"304",87,2020-01-04,40
"305",119,2020-01-04,22
"306",96,2020-01-05,180
"307",134,2020-01-05,42
"308",11,2020-01-06,212
"309",28,2020-01-07,140
"310",117,2020-01-07,37
"311",35,2020-01-09,12
"312",145,2020-01-10,30
"313",14,2020-01-10,25
"314",77,2020-01-11,30
"315",67,2020-01-11,44
"316",15,2020-01-12,59
"317",122,2020-01-12,47
"318",160,2020-01-12,8
"319",140,2020-01-12,38
"320",1,2020-01-12,67
"321",110,2020-01-13,89
"322",132,2020-01-13,32
"323",22,2020-01-13,30
"324",39,2020-01-16,24
"325",103,2020-01-16,133
"326",95,2020-01-16,29
"327",125,2020-01-16,249
"328",18,2020-01-18,107
"329",57,2020-01-19,26
"330",143,2020-01-19,14
"331",105,2020-01-19,227
"332",149,2020-01-20,16
"333",102,2020-01-21,149
"334",81,2020-01-21,99
"335",146,2020-01-21,113
"336",75,2020-01-22,42
"337",128,2020-01-22,176
"338",6,2020-01-22,98
"339",37,2020-01-24,9
"340",2,2020-01-25,10
"341",61,2020-01-27,10
"342",157,2020-01-28,201
"343",128,2020-02-02,6
"344",14,2020-02-04,77
"345",75,2020-02-06,12
"346",101,2020-02-06,74
"347",79,2020-02-06,15
"348",87,2020-02-07,157
"349",61,2020-02-07,137
"350",42,2020-02-08,128
"351",62,2020-02-08,10
"352",57,2020-02-08,107
"353",59,2020-02-08,101
"354",142,2020-02-08,314
"355",125,2020-02-08,42
"356",67,2020-02-09,30
"357",129,2020-02-10,64
"358",50,2020-02-11,74
"359",107,2020-02-11,29
"360",99,2020-02-11,240
"361",76,2020-02-12,18
"362",117,2020-02-12,51
"363",159,2020-02-12,35
"364",23,2020-02-13,242
"365",37,2020-02-14,27
"366",130,2020-02-15,12
"367",6,2020-02-15,5
"368",25,2020-02-16,156
"369",97,2020-02-16,35
"370",80,2020-02-16,174
"371",148,2020-02-17,81
"372",145,2020-02-17,27
"373",100,2020-02-18,191
"374",24,2020-02-19,141
"375",91,2020-02-20,34
"376",124,2020-02-20,28
"377",49,2020-02-21,32
"378",39,2020-02-21,39
"379",27,2020-02-21,130
"380",136,2020-02-22,71
"381",18,2020-02-23,32
"382",15,2020-02-24,28
"383",28,2020-02-24,86
"384",110,2020-02-25,107
"385",122,2020-02-26,69
"386",29,2020-02-26,53
"387",103,2020-02-26,34
"388",22,2020-02-28,37
"389",46,2020-02-29,40
"390",1,2020-02-29,67
"391",134,2020-02-29,280
"392",115,2020-03-02,82
"393",109,2020-03-02,69
"394",15,2020-03-03,193
"395",121,2020-03-03,54
"396",14,2020-03-03,52
"397",139,2020-03-03,112
"398",9,2020-03-03,53
"399",76,2020-03-04,129
"400",130,2020-03-04,280
"401",78,2020-03-04,90
"402",70,2020-03-04,6
"403",33,2020-03-05,13
"404",95,2020-03-05,38
"405",10,2020-03-06,92
"406",136,2020-03-06,67
"407",51,2020-03-07,8
"408",133,2020-03-07,87
"409",69,2020-03-08,103
"410",116,2020-03-09,89
"411",158,2020-03-09,38
"412",108,2020-03-09,60
"413",39,2020-03-10,121
"414",103,2020-03-10,23
"415",54,2020-03-11,24
"416",128,2020-03-12,112
"417",46,2020-03-12,310
"418",142,2020-03-13,5
"419",26,2020-03-14,25
"420",67,2020-03-15,300
"421",148,2020-03-16,130
"422",96,2020-03-16,22
"423",105,2020-03-16,64
"424",22,2020-03-16,23
"425",152,2020-03-16,91
"426",124,2020-03-17,208
"427",11,2020-03-17,47
"428",72,2020-03-17,170
"429",77,2020-03-18,71
"430",93,2020-03-19,20
"431",85,2020-03-19,131
"432",143,2020-03-20,25
"433",61,2020-03-20,42
"434",3,2020-03-20,56
"435",44,2020-03-22,22
"436",36,2020-03-22,60
"437",57,2020-03-23,15
"438",102,2020-03-23,25
"439",140,2020-03-23,27
"440",6,2020-03-23,60
"441",31,2020-03-24,59
"442",134,2020-03-24,49
"443",87,2020-03-25,80
"444",28,2020-03-25,13
"445",24,2020-03-25,46
"446",145,2020-03-25,3
"447",100,2020-03-26,127
"448",94,2020-03-27,86
"449",131,2020-03-27,39
"450",42,2020-03-29,51
"451",73,2020-03-29,74
"452",117,2020-03-29,94
"453",91,2020-03-29,171
"454",18,2020-03-29,60
"455",125,2020-03-29,22
"456",12,2020-03-29,60
"457",107,2020-04-02,36
"458",54,2020-04-03,16
"459",128,2020-04-03,64
"460",60,2020-04-04,82
"461",28,2020-04-05,163
"462",145,2020-04-05,25
"463",67,2020-04-06,31
"464",8,2020-04-06,451
"465",31,2020-04-07,85
"466",112,2020-04-07,81
"467",48,2020-04-07,61
"468",121,2020-04-08,22
"469",26,2020-04-08,168
"470",102,2020-04-09,25
"471",153,2020-04-09,87
"472",16,2020-04-10,54
"473",143,2020-04-11,108
"474",89,2020-04-11,91
"475",40,2020-04-11,28
"476",125,2020-04-11,75
"477",98,2020-04-12,74
"478",130,2020-04-12,57
"479",134,2020-04-13,214
"480",6,2020-04-14,107
"481",95,2020-04-14,132
"482",124,2020-04-15,56
"483",18,2020-04-15,115
"484",68,2020-04-15,75
"485",76,2020-04-16,154
"486",57,2020-04-17,91
"487",58,2020-04-17,695
"488",109,2020-04-17,7
"489",77,2020-04-18,209
"490",61,2020-04-18,90
"491",22,2020-04-18,18
"492",133,2020-04-18,88
"493",108,2020-04-19,54
"494",82,2020-04-21,48
"495",162,2020-04-21,41
"496",157,2020-04-22,24
"497",19,2020-04-22,72
"498",84,2020-04-22,109
"499",139,2020-04-23,14
"500",29,2020-04-24,6
"501",91,2020-04-24,5
"502",11,2020-04-24,97
"503",87,2020-04-25,98
"504",94,2020-04-25,294
"505",131,2020-04-25,90
"506",39,2020-04-26,46
"507",160,2020-04-26,12
"508",72,2020-04-26,135
"509",15,2020-04-27,40
"510",63,2020-04-27,93
"511",117,2020-04-28,55
"512",103,2020-04-28,50
"513",118,2020-04-29,19
"514",79,2020-05-04,63
"515",67,2020-05-04,12
"516",22,2020-05-04,194
"517",128,2020-05-06,25
"518",135,2020-05-07,18
"519",39,2020-05-08,30
"520",89,2020-05-09,301
"521",11,2020-05-09,228
"522",12,2020-05-09,17
"523",162,2020-05-09,76
"524",108,2020-05-09,245
"525",15,2020-05-10,109
"526",6,2020-05-10,78
"527",104,2020-05-10,12
"528",153,2020-05-11,118
"529",92,2020-05-11,37
"530",58,2020-05-12,20
"531",138,2020-05-12,16
"532",28,2020-05-13,90
"533",137,2020-05-13,65
"534",115,2020-05-13,434
"535",145,2020-05-13,78
"536",139,2020-05-13,51
"537",16,2020-05-13,4
"538",57,2020-05-14,12
"539",132,2020-05-14,66
"540",51,2020-05-15,9
"541",49,2020-05-15,31
"542",122,2020-05-16,41
"543",130,2020-05-16,132
"544",103,2020-05-16,120
"545",124,2020-05-16,37
"546",87,2020-05-17,40
"547",157,2020-05-17,41
"548",1,2020-05-17,43
"549",8,2020-05-17,36
"550",44,2020-05-18,131
"551",94,2020-05-18,61
"552",38,2020-05-18,65
"553",143,2020-05-19,102
"554",161,2020-05-19,61
"555",77,2020-05-20,47
"556",131,2020-05-20,55
"557",72,2020-05-21,91
"558",31,2020-05-22,72
"559",70,2020-05-23,162
"560",36,2020-05-23,141
"561",20,2020-05-23,46
"562",91,2020-05-24,82
"563",95,2020-05-25,78
"564",63,2020-05-26,85
"565",110,2020-05-27,147
"566",48,2020-05-27,61
"567",81,2020-05-27,12
"568",55,2020-05-27,11
"569",106,2020-05-28,63
"570",117,2020-05-28,199
"571",21,2020-05-28,9
"572",18,2020-05-29,76
"573",125,2020-05-29,9
"574",120,2020-05-29,40
"575",19,2020-06-02,54
"576",108,2020-06-02,53
"577",12,2020-06-03,8
"578",53,2020-06-05,41
"579",103,2020-06-05,59
"580",140,2020-06-05,88
"581",82,2020-06-06,43
"582",156,2020-06-06,21
"583",146,2020-06-07,120
"584",102,2020-06-08,37
"585",124,2020-06-08,116
"586",11,2020-06-08,84
"587",122,2020-06-09,160
"588",117,2020-06-10,26
"589",7,2020-06-10,47
"590",77,2020-06-11,17
"591",91,2020-06-11,25
"592",154,2020-06-12,28
"593",94,2020-06-12,496
"594",75,2020-06-13,31
"595",28,2020-06-13,68
"596",76,2020-06-13,30
"597",131,2020-06-13,50
"598",14,2020-06-15,258
"599",56,2020-06-16,41
"600",66,2020-06-16,625
"601",20,2020-06-16,76
"602",5,2020-06-16,91
"603",161,2020-06-16,19
"604",155,2020-06-17,9
"605",58,2020-06-18,25
"606",22,2020-06-18,27
"607",92,2020-06-18,55
"608",39,2020-06-19,49
"609",61,2020-06-20,37
"610",111,2020-06-20,709
"611",60,2020-06-21,64
"612",138,2020-06-21,11
"613",67,2020-06-21,115
"614",78,2020-06-21,205
"615",152,2020-06-21,32
"616",84,2020-06-21,21
"617",54,2020-06-22,316
"618",9,2020-06-22,264
"619",145,2020-06-23,111
"620",135,2020-06-24,14
"621",15,2020-06-24,381
"622",47,2020-06-24,46
"623",114,2020-06-24,29
"624",162,2020-06-24,28
"625",30,2020-06-24,51
"626",45,2020-06-25,92
"627",63,2020-06-25,151
"628",71,2020-06-25,71
"629",139,2020-06-25,35
"630",23,2020-06-26,105
"631",89,2020-06-26,19
"632",125,2020-06-26,16
"633",68,2020-06-26,17
"634",121,2020-06-27,18
"635",115,2020-06-27,50
"636",43,2020-06-27,253
"637",69,2020-06-28,61
"638",6,2020-06-29,27
"639",72,2020-06-29,56
"640",41,2020-06-29,222
"641",74,2020-07-02,79
"642",154,2020-07-03,13
"643",65,2020-07-03,317
"644",150,2020-07-03,35
"645",12,2020-07-03,47
"646",30,2020-07-03,16
"647",112,2020-07-04,55
"648",11,2020-07-04,100
"649",51,2020-07-05,60
"650",147,2020-07-05,23
"651",4,2020-07-06,24
"652",18,2020-07-06,59
"653",23,2020-07-08,53
"654",117,2020-07-08,161
"655",6,2020-07-09,41
"656",92,2020-07-09,51
"657",161,2020-07-09,14
"658",59,2020-07-10,6
"659",39,2020-07-10,56
"660",73,2020-07-10,22
"661",159,2020-07-10,135
"662",137,2020-07-11,72
"663",67,2020-07-11,203
"664",152,2020-07-11,10
"665",28,2020-07-12,35
"666",94,2020-07-12,45
"667",88,2020-07-12,347
"668",63,2020-07-13,123
"669",138,2020-07-13,56
"670",44,2020-07-14,59
"671",87,2020-07-15,75
"672",122,2020-07-15,72
"673",113,2020-07-15,55
"674",121,2020-07-16,33
"675",79,2020-07-16,49
"676",125,2020-07-17,37
"677",64,2020-07-17,51
"678",66,2020-07-18,70
"679",95,2020-07-18,36
"680",22,2020-07-18,86
"681",131,2020-07-19,13
"682",139,2020-07-19,8
"683",45,2020-07-20,59
"684",69,2020-07-20,28
"685",77,2020-07-22,5
"686",61,2020-07-22,24
"687",15,2020-07-23,81
"688",54,2020-07-23,30
"689",103,2020-07-23,46
"690",40,2020-07-23,14
"691",153,2020-07-23,140
"692",108,2020-07-23,113
"693",156,2020-07-24,67
"694",143,2020-07-25,53
"695",76,2020-07-25,29
"696",123,2020-07-25,84
"697",53,2020-07-27,203
"698",91,2020-07-27,141
"699",20,2020-07-27,17
"700",5,2020-07-27,287
"701",21,2020-07-27,31
"702",102,2020-07-28,19
"703",129,2020-07-28,23
"704",158,2020-07-28,167
"705",84,2020-07-28,95
"706",135,2020-07-29,60
"707",58,2020-07-29,91
"708",24,2020-07-29,86
"709",39,2020-08-03,43
"710",103,2020-08-03,55
"711",131,2020-08-03,8
"712",152,2020-08-03,29
"713",92,2020-08-03,8
"714",154,2020-08-04,238
"715",93,2020-08-04,15
"716",30,2020-08-04,100
"717",27,2020-08-05,34
"718",69,2020-08-05,12
"719",102,2020-08-05,87
"720",156,2020-08-05,65
"721",84,2020-08-05,17
"722",6,2020-08-06,93
"723",12,2020-08-06,33
"724",48,2020-08-08,77
"725",129,2020-08-08,33
"726",91,2020-08-09,74
"727",88,2020-08-09,58
"728",140,2020-08-10,114
"729",150,2020-08-10,38
"730",126,2020-08-11,78
"731",135,2020-08-12,96
"732",66,2020-08-12,201
"733",3,2020-08-13,29
"734",87,2020-08-15,1380
"735",94,2020-08-16,75
"736",108,2020-08-16,57
"737",149,2020-08-17,110
"738",143,2020-08-17,195
"739",59,2020-08-17,38
"740",45,2020-08-17,60
"741",86,2020-08-17,535
"742",51,2020-08-18,272
"743",8,2020-08-18,17
"744",97,2020-08-19,97
"745",141,2020-08-19,79
"746",58,2020-08-20,43
"747",24,2020-08-20,56
"748",29,2020-08-20,215
"749",125,2020-08-20,36
"750",21,2020-08-20,55
"751",109,2020-08-21,4
"752",122,2020-08-22,180
"753",79,2020-08-22,228
"754",11,2020-08-22,38
"755",34,2020-08-22,225
"756",151,2020-08-23,61
"757",95,2020-08-24,47
"758",139,2020-08-24,87
"759",28,2020-08-25,120
"760",138,2020-08-25,120
"761",7,2020-08-25,172
"762",55,2020-08-25,117
"763",15,2020-08-26,36
"764",67,2020-08-26,92
"765",20,2020-08-26,73
"766",77,2020-08-27,79
"767",63,2020-08-27,92
"768",22,2020-08-27,98
"769",162,2020-08-28,97
"770",112,2020-08-29,19
"771",137,2020-08-29,224
"772",61,2020-08-29,23
